id,source_findings,section,status,description,remediation_risk,files_changed,commit,validation,reason_not_done,next_step
20260712-173338-A1,S2-B1,7,completed,"rc-aware comparator: _OURS_RE + Parsed.rc + _sort_key handle rcN; next_version_ok guards unparseable published; 3 regression tests",Low,agent_workflows/versioning.py;tests/test_versioning.py;tests/test_pypi_links.py,7f7d5c6,215 passed; rc compare/status/next_version_ok verified,,done
20260712-173338-A2,S2-TYPE1,7,completed,"fixed 8 Term(<bool>) sites to Term(color=False if no_color else None); stream never bool; kills the pyright errors + latent --no-color crash",Low,agent_workflows/engine.py,7f7d5c6,215 passed; Term(color=False).stream not bool; line() no crash,,done
20260712-173338-A3,S4-D1,7,completed,"ARCHITECTURE: shim count 16->18; added plan-review-long/ + verify-execution/ to the tree",Low,ARCHITECTURE.md,7f7d5c6,grep confirms 18 + both dirs present,,done
20260712-173338-A4,S4-D2,7,completed,"README: corrected core-workflow prose count + added release-review-plan/plan-review-long/verify-execution to the enumeration; 16 rows",Low,README.md,7f7d5c6,prose matches 16-row table,,done
20260712-173338-A5,S6-CI1,7,completed,"CI: install build in the unittest job so test_packaging (ship-vs-dev gate) runs instead of self-skipping",Low,.github/workflows/tests.yml,7f7d5c6,step added before self-tests,,done
20260712-173338-A6,S6-PKG4,7,completed,"pyproject: added Issues + Changelog project.urls",Low,pyproject.toml,7f7d5c6,twine check PASSED,,done
20260712-173338-A7,S6-PKG5,7,completed,"pyproject: dropped deprecated 'License :: OSI Approved' classifier (SPDX license expression retained)",Low,pyproject.toml,7f7d5c6,twine check PASSED; wheel builds,,done
20260712-173338-A8,S5-M1,7,deferred,"older executed plans use uppercase Status: EXECUTED (pre-D52)",Low,,,"n/a","complexity/functionality N/A; DEFER on P4: executed/ plans are append-only history; rewriting ~18 historical status lines edits closed records. Cosmetic only; new plans use lowercase.",leave as-is (P4)
20260712-173338-A9,S2-MEM2,7,deferred,"discovery._scan_children lacks symlink-cycle guard",Low,,,"n/a","functionality: real but low; input is the user's own configured search roots (non-adversarial); a cycle is an unusual local misconfig. Out of scope for this release; capture as a follow-up.",follow-up IPD candidate
20260712-173338-A10,S4-U2,7,deferred,"roadmaps file lacks -NN- segment; roadmaps/ has no README",Low,,,"n/a","the roadmaps/ bucket policy was explicitly deferred by the maintainer to post-release; the file is untracked. Not this release's scope.",post-release roadmaps discussion
