id,severity,remediation_risk,axis,persona,area,finding,evidence,proposed_action,disposition
D-1,High,Low,,novice,accuracy,"README front-page says framework is 'plain instruction files plus two small Python helpers'; actually 5 tools + agent_workflows package",README.md:9,"Rephrase count-free (a few dependency-free tools + installer/CLI)",propose
D-2,Medium,Low,,software-engineer,accuracy/completeness,"normalize_plan_names.py (D48/D50) missing from README/ARCHITECTURE/CONTRIBUTING inventories","README.md:243-249; ARCHITECTURE.md:46-47,382-383; CONTRIBUTING.md","Add the tool to all three inventories; ARCHITECTURE four->five tools",propose
D-3,Medium,Low,,stakeholder,honesty(dogfooding),"repo's own .agents/plans/ lacks superseded/ + not-executed/ and Category-1 READMEs; never re-ran own install (violates D47/D49)",ls .agents/plans (executed pending reusable only),"Re-run python3 -m agent_workflows install . (staged)",propose
D-4,Medium,Low,,stakeholder,honesty(dogfooding),"index.md stamp hard-codes 1.0.0 while HEAD is v1.0.0-40; the stale-value state D44/D50 warn against","index.md:3-4; git describe=v1.0.0-40-gf613346","make version-file (entangled with release decision, OQ1)",propose
D-5,Medium,Low,,software-engineer,accuracy(self-contradiction),"assess.md Write-the-IPD example uses old YYYY-MM-DD-assess-<concern>.md, contradicting its own Step 0 + D48",assess/assess.md:124-126 vs :91,"Fix example to YYYYMMDD-HHMM-NN-assess-<concern>.md",propose
D-6,Medium,Low,,novice,accuracy,"pyproject requires-python >=3.8 vs README 'Python 3.9+'; CI provisions 3.9/3.13 only",pyproject.toml:10 vs README.md:17,200,"Reconcile the floor across metadata+README+DECISIONS",propose
D-7,Medium,Low,,software-engineer,completeness,"CONTRIBUTING self-tests names only 3 tools; tests/ has 14 modules",CONTRIBUTING.md:52-65,"List current tools (or count-free) + the discover command",propose
D-8,Low-Medium,Low,,novice,completeness,"D49 self-documenting .agents/ tree READMEs feature not mentioned in README/ARCHITECTURE",grep README/ARCHITECTURE = none,"Add a short feature mention",propose
D-9,Low,Low,,novice,consistency,"README prose 'thirteen core' vs 14-row core table incl. /advise",README.md:98 vs :113-126,"Reconcile count/inclusion",propose
D-10,Low,Low,,software-engineer,consistency,"scaffold.md shows python3 install-workflows.py rather than aw",scaffold/scaffold.md:87-88,"Update examples to aw path",propose
X-1,Medium,,,software-engineer,code(out-of-concern),"engine.py Term(bool) where stream expected + None default for list[str]; pre-existing type issues","engine.py:734,935,1326,1454,1531,1607,1613,2282","Route to /release-review (not a doc fix)",routed-onward
