id,section,type,severity,remediation_risk,title,status,area,evidence,impact,recommended_action,public_change,artifact_updates,source_files,validation,next_step
20260712-173338-S2-B1,2,B,HIGH,Low,rc versions crash the comparator/status/next_version_ok,identified,versioning,versioning.py:226-230;288;313;360-369,"next_version_ok(x, '<rc>') raises ValueError; status(rc) -> unknown; parse_our_version(rc) -> None. parse_describe EMITS rc (this session) but the comparator cannot consume it - a self-inconsistency. release-review Section 6 next-version gate would crash post-publish if an rc is compared.",Extend _OURS_RE/parse_our_version + _sort_key to understand rcN ordering; guard next_version_ok against unparseable published,no,tests,versioning.py,new test_versioning rc-compare/status/next_version_ok cases green,fix in S7
20260712-173338-S2-TYPE1,2,MEM,MEDIUM,Low,Term(<bool>) passes bool where stream expected (latent --no-color crash + real type errors),identified,cli-ux,engine.py:766;978;1430;1582;1648;1725;1810;2572,"Term(plan.no_color) sets self.stream=True under --no-color; dormant because those sites only call .colorize(), but any future .line()/.status() there crashes; also the 8 real pyright errors that have dogged the session.",Change the 8 sites to Term(color=False if no_color else None) (the idiom already used at engine.py:1977 + cli.py:814),no,none,engine.py,pyright/pytest green; Term stream never bool,fix in S7
20260712-173338-S6-CI1,6,CI,MEDIUM,Low,packaging/dev-leak gate self-skips in CI (no build installed),identified,ci,.github/workflows/tests.yml:51-96;tests/test_packaging.py:59-62,"test_packaging self-skips unless 'build' is installed; the unittest job does not install build, and the wheel job does not run the leak assertions -> AC-11 (ship-vs-dev gate) may run in NO ci job, contradicting the file's own comment.",Install build in the unittest job OR run python -m unittest tests.test_packaging in the wheel job,no,ci,.github/workflows/tests.yml,packaging test executes (not skipped) in CI,fix in S7
20260712-173338-S4-D1,4,D,HIGH,Low,ARCHITECTURE shim count + workflow tree stale,identified,docs,ARCHITECTURE.md:28-52;57-58,"Says '16' shims (actual 18); file tree omits plan-review-long/ and verify-execution/ (lists 15 of 17 workflow dirs).",Update count 16->18; add the two missing workflow dirs to the tree,no,docs,ARCHITECTURE.md,grep confirms count + dirs present,fix in S7
20260712-173338-S4-D2,4,D,MEDIUM,Low,README core-workflow count + enumeration stale,identified,docs,README.md:116;122;131-146,"Prose says 'thirteen core workflows'/'14 rows' but the table has 16 rows and drops release-review-plan, plan-review-long, verify-execution from the :116 enumeration.",Correct the count and add the three missing commands to the enumeration,no,docs,README.md,count matches table,fix in S7
20260712-173338-S5-M1,5,M,LOW,Low,older executed plans use uppercase Status: EXECUTED (pre-D52 vocab),identified,plans,.agents/plans/executed/2026070*-*.md,"~18 older executed plans use 'Status: EXECUTED (...)' vs the current lowercase 'executed' (D52). Correctly located; cosmetic vocabulary drift. Append-only history (P4) argues against rewriting.",Leave as-is (P4 history); note in decisions,no,none,.agents/plans/executed,n/a,defer (P4)
20260712-173338-S2-MEM2,2,MEM,LOW,Low,discovery._scan_children has no symlink-cycle guard,identified,discovery,discovery.py:134-170,"recursive scan follows symlinks with no visited-set/depth cap; a symlink cycle under a search root could RecursionError. User-controlled (not adversarial).",Add a resolved-path visited set or os.walk(followlinks=False),no,tests,discovery.py,cycle test does not hang,defer or fix in S7
20260712-173338-S6-VER2dup,6,PKG,LOW,Low,(duplicate of S2-B1 from the packaging lane),superseded,versioning,versioning.py:226,Same rc-comparator issue as S2-B1.,see S2-B1,no,none,versioning.py,n/a,merged into S2-B1
20260712-173338-S6-PKG4,6,PKG,LOW,Low,pyproject project.urls thin (no Issues/Changelog),identified,packaging,pyproject.toml:31-33,Only Homepage+Repository (same URL); missing Issues/Changelog links for the PyPI sidebar.,Add Issues + Changelog urls,no,packaging,pyproject.toml,twine check green,fix in S7
20260712-173338-S6-PKG5,6,PKG,LOW,Low,deprecated License classifier alongside SPDX expression,identified,packaging,pyproject.toml:13;21,"PEP 639: License:: classifier deprecated when License-Expression present; stricter toolchains warn.",Drop the License:: OSI classifier; keep SPDX license + license-files,no,packaging,pyproject.toml,twine check green,fix in S7
20260712-173338-S4-U2,4,U,LOW,Low,roadmaps file missing -NN- segment + no roadmaps README,identified,docs,.agents/docs/roadmaps/,"The one roadmaps file lacks the -NN- per-minute segment the README convention asserts; roadmaps/ has no bucket README (all other buckets do). File is untracked.",Rename file to add -NN-; optionally add roadmaps README,no,docs,.agents/docs/roadmaps,plan-names clean,defer (deferred bucket)
