id,severity,remediation_risk,remediation_risk_axis,persona,area,finding,evidence,proposed_action,disposition
D-01,High,Low,-,software-engineer,accuracy,"ARCHITECTURE.md describes the pre-D31 command model: it says the manifest's lens column lets ""many commands (/assess-performance, /assess-security, ...) share the one harness body"" and ""choose assess-<concern>"". Since D31 those are one parameterized /assess <concern>; per-concern commands no longer exist.",ARCHITECTURE.md:197-203,"Rewrite the assess section to describe the single parameterized /assess <concern> command and the assess-<concern> catalog rows (not separate commands); mirror index.md/README.",propose
D-02,High,Low,-,novice,accuracy,"ARCHITECTURE.md ""Invocation, by tool"" lists /assess-security as an example command; that command does not exist post-D31.",ARCHITECTURE.md:259,Replace /assess-security examples with /assess security throughout ARCHITECTURE.md.,propose
D-03,High,Low,-,software-engineer,completeness,"ARCHITECTURE.md omits nine of the fifteen workflows entirely: verify, advise (+personas), assess-all, spec, incident, release-notes, migrate, list-workflows, getting-started. It describes only release-review, plan-review, assess, setup-repo, scaffold.",ARCHITECTURE.md:190-253 (no mention of the D33-D37 workflows),"Add sections for the verification/evidence layer (verify + run_checks.py), the advise persona family, assess-all, the lifecycle workflows, list-workflows, and getting-started.",propose
D-04,High,Low,-,software-engineer,accuracy,"ARCHITECTURE.md file tree omits the workflow dirs added in D33-D37 (verify/, advise/, assess-all/, spec/, incident/, release-notes/, migrate/, list-workflows/, getting-started/), the VERSION file, the tests/ dir, and the run_checks.py/setup_tools.py tools; the .opencode/.claude tree comments say only ""(/release-review[-plan], /plan-review)"".",ARCHITECTURE.md:26-35,"Update the file tree to reflect the current .agents/workflows/ layout, VERSION, tests/, and the three tools.",propose
D-05,Medium,Low,-,software-engineer,accuracy,"ARCHITECTURE.md does not mention framework versioning (VERSION file, YYYYMMDD-NN scheme, installer stamping, --version) added in D32, nor the self-test suite (tests/, D36) though it discusses the design elsewhere.",ARCHITECTURE.md (no VERSION/tests mention),"Add a short subsection on versioning + stamping and on the self-tests, cross-referencing DECISIONS D32/D36.",propose
D-06,Medium,Low,-,operator,accuracy,"ARCHITECTURE.md describes only scan_secrets.py and setup_tools.py as the tools; run_checks.py (the verify evidence engine, D33) is not listed among the mechanical helpers.",ARCHITECTURE.md:209,242 (tools list),Add run_checks.py to the tools description alongside scan_secrets.py and setup_tools.py.,propose
D-07,Low,Low,-,software-engineer,completeness,"CONTRIBUTING.md doc-sync checklist step 3 says ""For an assess-* concern, add the lens ..."" but does not mention adding an advise-<persona> catalog row for the parallel advise family (same catalog-collapse mechanism).",CONTRIBUTING.md:23-24,"Generalize step 3 to cover both assess-<concern> lenses and advise-<persona> personas (both catalog rows).",propose
D-08,Low,Low,-,operator,consistency,"Stray Windows Zone.Identifier metadata file tracked/present next to a prompts/ doc; not documentation content but repo hygiene the docs lens surfaces (clutters the doc tree).",prompts/modular-release-review-instruction-set-generation-prompt.md:Zone.Identifier,"Remove the stray :Zone.Identifier file and add a .gitignore guard (the installer already ignores these in the workflow tree).",propose
D-09,Low,Low,-,novice,completeness,"No CHANGELOG/release-notes file exists at the repo root; the framework now has a version (20260704-01) and a /release-notes workflow, so a user cannot see what changed between versions. DECISIONS.md is the de-facto history but is design-rationale, not a user-facing changelog.",repo root (no CHANGELOG.md); VERSION=20260704-01,"Consider adding a CHANGELOG.md (or documenting that DECISIONS.md serves that role and pointing to it from README). Low priority; propose as optional.",propose
D-10,Low,Low,-,software-engineer,accuracy,"README ""Running workflows by tool"" and ARCHITECTURE both point to index.md's ""Running a workflow (by tool)"" section, which exists and is correct - verified. No fix needed; recorded as a positive check.",index.md:79; README.md:159,No action (accurate).,no-action
