id,severity,remediation_risk,remediation_risk_axis,persona,area,finding,evidence,proposed_action,disposition
F4,MEDIUM,Low,none,QA/engineer,exit-code correctness,"engine.run() computes returncode then returns hardcoded 0; multi-repo install-workflows.py path reports success even when a repo failed/aborted",engine.py:~2836,"return returncode instead of return 0; add test (nonexistent repo -> exit 1)",propose
F5,MEDIUM,Low,none,data-integrity,rollback completeness,".created-files.json omits create_setup_artifacts files (gitleaksignore, secret-scan CI, .agents/comms/ skeleton); --undo leaves them behind",engine.py:~2699,"fold artifacts (suffix-stripped, no dry-run) into newly_created before save_created_files_record; add rollback test",propose
F8,MEDIUM,Low,none,QA/engineer,batch isolation,"_install_all/setup catch except Exception; install_into_repo can raise SystemExit (BaseException) which escapes and aborts the batch (breaks R-4)",cli.py:~494;~748,"catch (Exception, SystemExit) in _install_all and setup loop; add isolation test",propose
F1,LOW,Low,none,engineer,type annotation,"prompt_and_run_commit(..., artifacts: list[str] = None) annotation vs default mismatch (deferred LSP diagnostic; only instance in engine/cli)",engine.py:1884,"annotate list[str] | None = None; optional signature-guard test",propose
F6,LOW,Low,none,engineer,reporting correctness,"preserved customized shim tagged [already current] -> reported as [no change], indistinguishable from untouched",engine.py:~805,"distinct tag e.g. [preserved: manual edits] + format_output_item mapping; test",propose
F14,LOW,Low,none,data-integrity,silent failure,"save_created_files_record swallows OSError write failure silently, degrading --undo (compounds F5)",engine.py:~1700,"log a stderr warning on write failure; test",propose
Ftools-a,LOW,Low,none,engineer,portability,"CSV outputs opened without newline='' -> double blank rows on Windows",scan_secrets.py:~828;run_checks.py:~679;bench_env.py:~682,"open with newline=''; test no double blank rows",propose
Ftools-b,LOW,Low,none,engineer,dead code/logic,"run_checks PHONY-skip condition '... and target.startswith(.)' always False for reachable names; all/default aggregates not skipped",run_checks.py:~239,"drop the dead clause so all/default are skipped; test",propose
Ftools-c,LOW,Low,none,security-hardening,redaction,"scan_secrets.redact() reveals up to 8 of N chars for 9-12-char secrets (head4+tail4)",scan_secrets.py:~290,"for len<16 mask more aggressively so short tokens are not near-fully revealed; test redact('abcdefghi') exposes <=4 chars",propose
F7,LOW,none,none,engineer,latent fragility (NOT reachable),"merge_pointer_block native branch lacks else for verb -> latent UnboundLocalError only if a 5th action added",engine.py:~1148,"optional: add else mirroring the AGENTS branch",defer
F12,LOW,none,none,engineer,dead code (cosmetic),"ensure_backups_gitignored if/elif branches identical",engine.py:~1335,"optional: collapse or restore intended asymmetry",defer
F4v,LOW,none,none,engineer,boundary (NOT reachable),"parse_describe mis-parses a bare non--long tag; sole caller always uses git describe --long",versioning.py:~113,"none required; documented boundary",defer
